Unnamed: 0,Name,Fips,State,State ANSI,Ag District,Ag District Code,County,County ANSI,2002,2007,2012,2017,2022,2007_increase,2012_increase,2017_increase,target
5607,Washington County,24043.0,WISCONSIN,55.0,SOUTHEAST,90.0,Washington County,131.0,2346.0,1992.0,917.0,395.0,162.0,0.0,0.0,0.0,0.0
5444,Washington County,16087.0,OREGON,41.0,NORTHWEST,10.0,Washington County,67.0,1373.0,1411.0,1185.0,1311.0,2719.0,1.0,0.0,1.0,1.0
9144,Adams County,39001.0,ILLINOIS,17.0,WEST,30.0,Adams County,1.0,517.0,517.0,237.0,264.0,441.0,1.0,0.0,1.0,1.0
9630,Duval County,12031.0,FLORIDA,12.0,NORTHEAST,30.0,Duval County,31.0,150.0,236.0,215.0,578.0,607.0,1.0,0.0,1.0,1.0
1126,Franklin County,23007.0,KANSAS,20.0,EAST CENTRAL,80.0,Franklin County,59.0,51.0,63.0,41.0,92.0,346.0,1.0,0.0,1.0,1.0
4489,Montgomery County,18107.0,GEORGIA,13.0,CENTRAL,50.0,Montgomery County,209.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
102,Butler County,39017.0,PENNSYLVANIA,42.0,WEST CENTRAL,40.0,Butler County,19.0,201.0,611.0,211.0,188.0,646.0,1.0,0.0,0.0,1.0
3027,Lawrence County,17101.0,SOUTH DAKOTA,46.0,WEST CENTRAL,40.0,Lawrence County,81.0,517.0,517.0,806.0,2029.0,2024.0,1.0,1.0,1.0,0.0
3695,Marion County,1093.0,ILLINOIS,17.0,EAST SOUTHEAST,70.0,Marion County,121.0,517.0,25.0,36.0,182.0,115.0,0.0,1.0,1.0,0.0
10712,Warren County,47177.0,GEORGIA,13.0,EAST CENTRAL,60.0,Warren County,301.0,517.0,517.0,517.0,18.0,10.0,1.0,1.0,0.0,0.0
6125,Washington County,50023.0,OKLAHOMA,40.0,NORTHEAST,70.0,Washington County,147.0,517.0,8.0,23.0,179.0,23.0,0.0,1.0,1.0,0.0
10288,Harris County,13145.0,TEXAS,48.0,UPPER COAST,90.0,Harris County,201.0,517.0,517.0,997.0,575.0,747.0,1.0,1.0,0.0,1.0
320,Clarke County,19039.0,ALABAMA,1.0,COASTAL PLAINS & GULF COAST,50.0,Clarke County,25.0,517.0,517.0,45.0,431.0,44.0,1.0,0.0,1.0,0.0
9464,Kiowa County,8061.0,OKLAHOMA,40.0,SOUTHWEST,30.0,Kiowa County,75.0,517.0,4.0,517.0,30.0,656.0,0.0,1.0,0.0,1.0
5255,Washington County,1129.0,NORTH CAROLINA,37.0,NORTHERN COASTAL,70.0,Washington County,187.0,517.0,517.0,517.0,431.0,90.0,1.0,1.0,0.0,0.0
10896,Wayne County,31179.0,PENNSYLVANIA,42.0,NORTHEASTERN,30.0,Wayne County,127.0,57.0,163.0,345.0,235.0,846.0,1.0,1.0,0.0,1.0
10177,Hall County,13139.0,GEORGIA,13.0,NORTH CENTRAL,20.0,Hall County,139.0,703.0,517.0,67.0,717.0,596.0,0.0,0.0,1.0,0.0
2124,Jackson County,37099.0,SOUTH DAKOTA,46.0,WEST CENTRAL,40.0,Jackson County,71.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
7895,Logan County,21141.0,OHIO,39.0,WEST CENTRAL,40.0,Logan County,91.0,492.0,359.0,202.0,286.0,807.0,0.0,0.0,1.0,1.0
1836,Jackson County,8057.0,SOUTH DAKOTA,46.0,WEST CENTRAL,40.0,Jackson County,71.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
13193,Pine County,27115.0,MINNESOTA,27.0,EAST CENTRAL,60.0,Pine County,115.0,244.0,235.0,255.0,364.0,303.0,0.0,1.0,1.0,0.0
11292,Clinton County,42035.0,MICHIGAN,26.0,SOUTH CENTRAL,80.0,Clinton County,37.0,394.0,426.0,390.0,461.0,1100.0,1.0,0.0,1.0,1.0
13829,Atoka County,40005.0,OKLAHOMA,40.0,SOUTH CENTRAL,60.0,Atoka County,5.0,91.0,29.0,46.0,57.0,154.0,0.0,1.0,1.0,1.0
4985,Pike County,17149.0,INDIANA,18.0,SOUTHWEST,70.0,Pike County,125.0,120.0,12.0,517.0,33.0,128.0,0.0,1.0,0.0,1.0
347,Clay County,1027.0,NEBRASKA,31.0,SOUTHEAST,90.0,Clay County,35.0,517.0,517.0,1405.0,874.0,1458.0,1.0,1.0,0.0,1.0
3682,Madison County,51113.0,MONTANA,30.0,SOUTHWEST,70.0,Madison County,57.0,517.0,6000.0,7102.0,1219.0,3700.0,1.0,1.0,0.0,1.0
13556,Rolette County,38079.0,NORTH DAKOTA,38.0,NORTH CENTRAL,20.0,Rolette County,79.0,517.0,517.0,3300.0,431.0,656.0,1.0,1.0,0.0,1.0
13034,York County,45091.0,SOUTH CAROLINA,45.0,NORTH CENTRAL,20.0,York County,91.0,112.0,140.0,213.0,179.0,700.0,1.0,1.0,0.0,1.0
6135,Washington County,55131.0,ALABAMA,1.0,COASTAL PLAINS & GULF COAST,50.0,Washington County,129.0,517.0,517.0,517.0,28.0,83.0,1.0,1.0,0.0,1.0
1860,Jackson County,12063.0,SOUTH DAKOTA,46.0,WEST CENTRAL,40.0,Jackson County,71.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
9421,Fremont County,56013.0,IDAHO,16.0,EAST,90.0,Fremont County,43.0,517.0,517.0,517.0,19.0,6.0,1.0,1.0,0.0,0.0
6080,Washington County,51191.0,INDIANA,18.0,SOUTH CENTRAL,80.0,Washington County,175.0,517.0,517.0,48.0,80.0,233.0,1.0,0.0,1.0,1.0
173,Calhoun County,17013.0,MISSISSIPPI,28.0,NORTH CENTRAL,20.0,Calhoun County,13.0,517.0,25.0,25.0,15.0,7.0,0.0,1.0,0.0,0.0
8586,Union County,35059.0,OREGON,41.0,NORTHEAST,30.0,Union County,61.0,296.0,517.0,517.0,71.0,656.0,1.0,1.0,0.0,1.0
9766,Liberty County,48291.0,MONTANA,30.0,NORTH CENTRAL,20.0,Liberty County,51.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
8912,Lake County,41037.0,OHIO,39.0,NORTHEAST,30.0,Lake County,85.0,182.0,276.0,75.0,262.0,233.0,1.0,0.0,1.0,0.0
3358,Madison County,12079.0,KENTUCKY,21.0,BLUEGRASS,50.0,Madison County,151.0,46.0,87.0,117.0,280.0,268.0,1.0,1.0,1.0,0.0
7710,Lincoln County,46083.0,MAINE,23.0,SOUTH,30.0,Lincoln County,15.0,517.0,33.0,43.0,201.0,258.0,0.0,1.0,1.0,1.0
4435,Montgomery County,13209.0,GEORGIA,13.0,CENTRAL,50.0,Montgomery County,209.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
9941,Taylor County,21217.0,GEORGIA,13.0,WEST CENTRAL,40.0,Taylor County,269.0,517.0,33.0,28.0,83.0,16.0,0.0,0.0,1.0,0.0
11538,Plymouth County,19149.0,IOWA,19.0,NORTHWEST,10.0,Plymouth County,149.0,517.0,17.0,15.0,19.0,191.0,0.0,0.0,1.0,1.0
11761,Brown County,48049.0,ILLINOIS,17.0,WEST,30.0,Brown County,9.0,517.0,517.0,85.0,431.0,48.0,1.0,0.0,1.0,0.0
1865,Jackson County,13157.0,ALABAMA,1.0,MOUNTAINS & EASTERN VALLEY,20.0,Jackson County,71.0,517.0,86.0,568.0,488.0,149.0,0.0,1.0,0.0,0.0
8557,Union County,34039.0,GEORGIA,13.0,NORTH CENTRAL,20.0,Union County,291.0,90.0,371.0,124.0,119.0,102.0,1.0,0.0,0.0,0.0
114,Calhoun County,1015.0,GEORGIA,13.0,SOUTHWEST,70.0,Calhoun County,37.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
4304,Monroe County,36055.0,ILLINOIS,17.0,SOUTHWEST,80.0,Monroe County,133.0,517.0,517.0,78.0,336.0,114.0,1.0,0.0,1.0,0.0
1254,Franklin County,36033.0,MAINE,23.0,SOUTH,30.0,Franklin County,7.0,78.0,72.0,164.0,65.0,73.0,0.0,1.0,0.0,1.0
12477,Harvey County,20079.0,KANSAS,20.0,SOUTH CENTRAL,60.0,Harvey County,79.0,517.0,1240.0,517.0,267.0,30.0,1.0,0.0,0.0,0.0
4615,Montgomery County,36057.0,GEORGIA,13.0,CENTRAL,50.0,Montgomery County,209.0,517.0,517.0,517.0,431.0,656.0,1.0,1.0,0.0,1.0
3019,Lawrence County,17101.0,ARKANSAS,5.0,NORTHEAST,30.0,Lawrence County,75.0,230.0,517.0,16.0,135.0,67.0,1.0,0.0,1.0,0.0
6382,Carroll County,18015.0,IOWA,19.0,WEST CENTRAL,40.0,Carroll County,27.0,517.0,8.0,12.0,431.0,29.0,0.0,1.0,1.0,0.0
4379,Monroe County,55081.0,WEST VIRGINIA,54.0,EASTERN,60.0,Monroe County,63.0,79.0,90.0,192.0,247.0,155.0,1.0,1.0,1.0,0.0
6029,Washington County,48477.0,NEW YORK,36.0,EASTERN,60.0,Washington County,115.0,2675.0,1776.0,1032.0,715.0,666.0,0.0,0.0,0.0,0.0
10977,Wayne County,49055.0,TENNESSEE,47.0,WESTERN RIM,30.0,Wayne County,181.0,517.0,5.0,517.0,24.0,451.0,0.0,1.0,0.0,1.0
623,Clay County,48077.0,ALABAMA,1.0,UPPER PLAINS & PIEDMONT,30.0,Clay County,27.0,517.0,67.0,183.0,146.0,270.0,0.0,1.0,0.0,1.0
4236,Monroe County,18105.0,WISCONSIN,55.0,WEST CENTRAL,40.0,Monroe County,81.0,467.0,685.0,546.0,1002.0,654.0,1.0,0.0,1.0,0.0
7432,Lincoln County,21137.0,OREGON,41.0,NORTHWEST,10.0,Lincoln County,41.0,27.0,23.0,39.0,118.0,918.0,0.0,1.0,1.0,1.0
4898,Perry County,29157.0,MISSOURI,29.0,EAST,60.0,Perry County,157.0,25.0,517.0,517.0,117.0,69.0,1.0,1.0,0.0,0.0
10512,Stewart County,13259.0,GEORGIA,13.0,SOUTHWEST,70.0,Stewart County,259.0,517.0,517.0,517.0,50.0,42.0,1.0,1.0,0.0,0.0
12482,Haskell County,48207.0,OKLAHOMA,40.0,EAST CENTRAL,80.0,Haskell County,61.0,38.0,56.0,49.0,92.0,81.0,1.0,0.0,1.0,0.0
13978,Newport County,44005.0,RHODE ISLAND,44.0,ALL COUNTIES,10.0,Newport County,5.0,517.0,20.0,94.0,431.0,771.0,0.0,1.0,1.0,1.0
13499,Rockingham County,37157.0,VIRGINIA,51.0,NORTHERN,20.0,Rockingham County,165.0,1315.0,1726.0,525.0,583.0,623.0,1.0,0.0,1.0,1.0
5460,Washington County,17189.0,INDIANA,18.0,SOUTH CENTRAL,80.0,Washington County,175.0,517.0,517.0,48.0,80.0,233.0,1.0,0.0,1.0,1.0
90,Butler County,31023.0,KENTUCKY,21.0,CENTRAL,30.0,Butler County,31.0,17.0,34.0,51.0,77.0,150.0,1.0,1.0,1.0,1.0
5194,Shelby County,47157.0,KENTUCKY,21.0,BLUEGRASS,50.0,Shelby County,211.0,57.0,99.0,336.0,416.0,586.0,1.0,1.0,1.0,1.0
6589,Clark County,46025.0,MISSOURI,29.0,NORTHEAST,30.0,Clark County,45.0,517.0,18.0,42.0,59.0,55.0,0.0,1.0,1.0,0.0
8324,Scott County,27139.0,MISSISSIPPI,28.0,CENTRAL,50.0,Scott County,123.0,88.0,73.0,306.0,201.0,71.0,0.0,1.0,0.0,0.0
10199,Hancock County,19081.0,IOWA,19.0,NORTH CENTRAL,20.0,Hancock County,81.0,517.0,517.0,58.0,431.0,70.0,1.0,0.0,1.0,0.0
6385,Carroll County,18015.0,MISSISSIPPI,28.0,CENTRAL,50.0,Carroll County,15.0,517.0,517.0,44.0,38.0,656.0,1.0,0.0,0.0,1.0
11325,Delaware County,40041.0,INDIANA,18.0,EAST CENTRAL,60.0,Delaware County,35.0,517.0,83.0,49.0,152.0,443.0,0.0,0.0,1.0,1.0
11817,Cumberland County,23005.0,VIRGINIA,51.0,CENTRAL,50.0,Cumberland County,49.0,517.0,23.0,27.0,17.0,143.0,0.0,1.0,0.0,1.0
